number,digit,time
451097, 6, 241940
459167, 6, 220410
465259, 6, 168440
472639, 6, 117110
474707, 6, 218210
476579, 6, 143110
501637, 6, 189370
509149, 6, 132060
509393, 6, 132190
509413, 6, 127710
511549, 6, 176570
514201, 6, 159790
524053, 6, 253600
525199, 6, 225680
535523, 6, 226850
540373, 6, 229210
553811, 6, 229680
583769, 6, 293070
583981, 6, 162330
587887, 6, 135340
619681, 6, 184180
623929, 6, 259660
629417, 6, 215640
633767, 6, 149680
644009, 6, 133760
650537, 6, 380010
653789, 6, 230180
657049, 6, 227870
663001, 6, 164270
667903, 6, 175010
671557, 6, 163850
676937, 6, 273820
681977, 6, 250480
694559, 6, 295630
701579, 6, 216060
712837, 6, 185200
743209, 6, 159900
752903, 6, 149880
754771, 6, 168590
754993, 6, 189620
768191, 6, 228610
769541, 6, 264000
795239, 6, 227480
800131, 6, 168390
802141, 6, 148190
806801, 6, 181980
808699, 6, 247300
813797, 6, 165100
814003, 6, 193190
814883, 6, 278870
823399, 6, 665960
830957, 6, 412750
861761, 6, 581040
862229, 6, 463440
870577, 6, 540820
884057, 6, 530050
889349, 6, 585270
895633, 6, 497910
907733, 6, 245520
910051, 6, 210620
918371, 6, 315250
934259, 6, 328100
944687, 6, 172240
981301, 6, 167140
981523, 6, 162450
1035241, 7, 194150
1066757, 7, 174350
1077179, 7, 176550
1133659, 7, 249290
1236307, 7, 208460
1644493, 7, 233580
1821779, 7, 241130
1830571, 7, 251540
1887797, 7, 224460
1892249, 7, 231790
2053943, 7, 469470
2162803, 7, 277850
2166529, 7, 247340
2438911, 7, 271300
2444401, 7, 267370
2466803, 7, 260320
2566063, 7, 409420
2599013, 7, 272470
2867807, 7, 1175460
2889499, 7, 710240
2966519, 7, 652220
3031867, 7, 787540
3052253, 7, 666740
3183091, 7, 1027610
3304297, 7, 1156110
3307379, 7, 749020
3355487, 7, 387410
3408641, 7, 395770
3425441, 7, 472870
3472933, 7, 481450
3571651, 7, 303930
3575071, 7, 303760
3602897, 7, 342050
3611401, 7, 303140
3653081, 7, 313540
3702593, 7, 303250
3766891, 7, 308870
3786829, 7, 306430
3890633, 7, 311460
4086559, 7, 478790
4093237, 7, 334370
4260317, 7, 337460
4345097, 7, 350970
4407523, 7, 349790
4567151, 7, 358540
4652189, 7, 341640
4721569, 7, 364040
4770737, 7, 471860
4842067, 7, 358890
4849349, 7, 351090
5194457, 7, 362440
5304001, 7, 774300
5529739, 7, 883210
5574841, 7, 1197150
5593649, 7, 1175660
5724007, 7, 719760
5803543, 7, 386640
5904161, 7, 394990
6032833, 7, 386310
6076607, 7, 391820
6292813, 7, 419660
6324401, 7, 707400
6431323, 7, 590110
6538151, 7, 459400
6777103, 7, 755050
6792631, 7, 429910
6901429, 7, 632810
7096211, 7, 450690
7124993, 7, 440500
7278407, 7, 552100
7339847, 7, 494900
7389871, 7, 543350
7439231, 7, 508130
7515163, 7, 630480
7641437, 7, 476810
7691027, 7, 596470
7883587, 7, 791550
7909943, 7, 466700
8014001, 7, 493040
8030741, 7, 479260
8238563, 7, 468770
8263531, 7, 448590
8420483, 7, 478620
8594713, 7, 475660
8620631, 7, 471390
8787799, 7, 478550
8837737, 7, 581110
8851877, 7, 667860
8985787, 7, 479820
9012187, 7, 484140
9120739, 7, 482740
9352393, 7, 479620
9354781, 7, 574540
9403259, 7, 491420
9635881, 7, 503110
9713149, 7, 701840
9847213, 7, 536380
9849683, 7, 797010
9853313, 7, 1183220
9962363, 7, 1244510
10311527, 8, 1436370
10435661, 8, 936400
10904851, 8, 592290
13036663, 8, 649670
14773921, 8, 716210
15148297, 8, 618900
15354971, 8, 718750
15499621, 8, 670680
16717037, 8, 976180
21006593, 8, 1619460
23024191, 8, 1457340
24763799, 8, 1537660
24978139, 8, 864080
25255469, 8, 795200
25712783, 8, 1011770
25722269, 8, 806080
26051257, 8, 1118520
27132461, 8, 835660
27408523, 8, 1171280
27757897, 8, 860980
28330979, 8, 853480
29879887, 8, 960140
29960633, 8, 871670
30009373, 8, 1091250
31144759, 8, 898630
31344151, 8, 958600
32076767, 8, 926370
33362837, 8, 908110
34461463, 8, 1009740
34781333, 8, 935710
36929677, 8, 2214200
37997957, 8, 3129580
38266519, 8, 2080660
39812987, 8, 1055160
39943793, 8, 1149160
40665869, 8, 1007500
40834267, 8, 1013110
43104797, 8, 1350030
43183099, 8, 1080250
43307359, 8, 1096290
43624759, 8, 1107130
43857887, 8, 1095720
44262047, 8, 1055710
45391013, 8, 1235060
45754019, 8, 1306410
47156881, 8, 1170520
50334001, 8, 1116450
50742437, 8, 1246680
51018491, 8, 1214540
51084343, 8, 1220400
52811513, 8, 1155160
52964627, 8, 1255350
55122181, 8, 1292830
56039587, 8, 1185420
57620053, 8, 1247760
58129403, 8, 1231240
58168427, 8, 1267060
58625257, 8, 1562670
59992547, 8, 1275070
60242227, 8, 1335160
60910123, 8, 1539240
60998429, 8, 1271900
61256963, 8, 1260600
64251527, 8, 1399400
64786987, 8, 1396730
65016799, 8, 1481680
65611153, 8, 1933880
65617567, 8, 1305710
66490657, 8, 1438170
66769487, 8, 1552170
69029833, 8, 1498460
70241779, 8, 1506580
70524043, 8, 1374960
72443291, 8, 1544270
72687319, 8, 1498210
73275221, 8, 1536800
74420623, 8, 1369100
76743397, 8, 1453180
77133911, 8, 1404910
77139113, 8, 1461690
77171821, 8, 1596810
77339303, 8, 1527010
77954087, 8, 1486930
78552059, 8, 1396560
79502531, 8, 1638510
79852579, 8, 1589280
80301293, 8, 1539120
80975053, 8, 1588640
84760849, 8, 1600480
86036287, 8, 1598120
89945953, 8, 1633800
90209927, 8, 1564180
90939941, 8, 1624610
92840323, 8, 1523150
96195599, 8, 1617150
97890719, 8, 1769830
98674063, 8, 1686870
98809069, 8, 1667470
99283271, 8, 1649900
99401311, 8, 1704410
102139837, 9, 1744920
107663587, 9, 1687060
118344613, 9, 1810480
134467691, 9, 1963050
135277801, 9, 2188780
136353179, 9, 2030790
145318471, 9, 1956750
150561053, 9, 2012890
157114339, 9, 2233010
168473419, 9, 2570280
182407583, 9, 2418640
188764117, 9, 2315780
196472993, 9, 2221030
198187901, 9, 2323790
199760783, 9, 2399020
200104549, 9, 2473360
219094123, 9, 2486750
225465703, 9, 2554240
227966153, 9, 2664110
237230723, 9, 2757410
240312929, 9, 2789230
244485727, 9, 3337550
263236781, 9, 2816460
264827839, 9, 3145980
275652529, 9, 3012720
277213793, 9, 2774060
314814671, 9, 3166380
325345561, 9, 3034320
341948119, 9, 3108850
348119249, 9, 3225160
382535521, 9, 3445820
386954987, 9, 3800700
400505267, 9, 3289630
406771663, 9, 3357140
410940199, 9, 3576120
422065513, 9, 3370980
424273711, 9, 3404400
436804619, 9, 3500610
438211859, 9, 3475470
448270309, 9, 4608200
453175351, 9, 4266950
453815581, 9, 3516550
463764451, 9, 3648990
477870929, 9, 3510220
493964143, 9, 3547700
495976633, 9, 3654790
500035729, 9, 3771220
500117927, 9, 3873390
522498173, 9, 3652690
528306083, 9, 3868340
532721731, 9, 3778830
533560829, 9, 3988760
538790489, 9, 3860940
539168233, 9, 3988250
546792091, 9, 3948470
552308723, 9, 4269940
557463493, 9, 4436330
557717627, 9, 4812200
566149547, 9, 3981070
592507757, 9, 4364390
603181883, 9, 4390640
616765811, 9, 4242410
619483607, 9, 4604440
620385431, 9, 4495480
620512033, 9, 4250750
624914681, 9, 4460710
636409217, 9, 4495950
645934969, 9, 4225210
674784113, 9, 4646550
675070037, 9, 4650050
679570709, 9, 4533170
683253941, 9, 4681890
685911493, 9, 4999150
686911543, 9, 4448650
690061717, 9, 6049850
729467159, 9, 4545790
735392773, 9, 4717620
737408851, 9, 4877120
739719163, 9, 4567710
749172517, 9, 4874530
750613463, 9, 4639550
751089061, 9, 4656820
783288619, 9, 4981910
796981841, 9, 4772100
814440667, 9, 4861010
820592677, 9, 4937870
833503807, 9, 4696860
838288361, 9, 5032120
840639229, 9, 6640230
841507913, 9, 5485590
847920767, 9, 5157370
849050959, 9, 4975640
863237699, 9, 4935260
869044831, 9, 5254240
871328567, 9, 5121530
872454613, 9, 5048640
876824639, 9, 4882890
883780283, 9, 5104040
897527327, 9, 5029230
910106741, 9, 4938100
