number,digit,time
343583, 6, 126190
363397, 6, 100190
369469, 6, 97830
383941, 6, 156480
384757, 6, 133460
395611, 6, 184350
404051, 6, 150970
405179, 6, 153400
406117, 6, 166060
410453, 6, 290470
422249, 6, 156220
440329, 6, 101670
451097, 6, 102120
459167, 6, 110870
465259, 6, 229710
472639, 6, 166030
474707, 6, 183280
476579, 6, 201270
501637, 6, 124530
509149, 6, 119650
509393, 6, 349020
509413, 6, 207060
511549, 6, 206340
514201, 6, 218800
524053, 6, 216520
525199, 6, 172200
535523, 6, 201000
540373, 6, 221320
553811, 6, 187430
583769, 6, 134740
583981, 6, 128050
587887, 6, 127210
619681, 6, 160440
623929, 6, 235920
629417, 6, 228500
633767, 6, 251250
644009, 6, 171840
650537, 6, 198770
653789, 6, 218020
657049, 6, 319950
663001, 6, 311400
667903, 6, 511340
671557, 6, 468090
676937, 6, 506100
681977, 6, 429230
694559, 6, 646040
701579, 6, 687800
712837, 6, 547190
743209, 6, 392950
752903, 6, 276840
754771, 6, 286810
754993, 6, 160890
768191, 6, 181470
769541, 6, 160860
795239, 6, 201660
800131, 6, 392400
802141, 6, 272510
806801, 6, 446450
808699, 6, 297350
813797, 6, 244950
814003, 6, 159880
814883, 6, 141090
823399, 6, 165250
830957, 6, 421530
861761, 6, 523670
862229, 6, 294680
870577, 6, 307530
884057, 6, 264570
889349, 6, 411590
895633, 6, 192260
907733, 6, 169870
910051, 6, 147030
918371, 6, 203390
934259, 6, 228180
944687, 6, 178130
981301, 6, 322980
981523, 6, 293550
1035241, 7, 260520
1066757, 7, 217330
1077179, 7, 254910
1133659, 7, 190630
1236307, 7, 339180
1644493, 7, 445350
1821779, 7, 474360
1830571, 7, 643430
1887797, 7, 362850
1892249, 7, 346320
2053943, 7, 475330
2162803, 7, 531020
2166529, 7, 442330
2438911, 7, 522140
2444401, 7, 452040
2466803, 7, 452520
2566063, 7, 358070
2599013, 7, 350780
2867807, 7, 481050
2889499, 7, 747980
2966519, 7, 673810
3031867, 7, 538060
3052253, 7, 480420
3183091, 7, 463320
3304297, 7, 569210
3307379, 7, 641640
3355487, 7, 485810
3408641, 7, 384180
3425441, 7, 390740
3472933, 7, 476540
3571651, 7, 305790
3575071, 7, 873500
3602897, 7, 1379850
3611401, 7, 1265400
3653081, 7, 1703990
3702593, 7, 825730
3766891, 7, 418060
3786829, 7, 646040
3890633, 7, 664110
4086559, 7, 553300
4093237, 7, 572280
4260317, 7, 465050
4345097, 7, 388840
4407523, 7, 416550
4567151, 7, 948750
4652189, 7, 644110
4721569, 7, 595660
4770737, 7, 525760
4842067, 7, 394570
4849349, 7, 465950
5194457, 7, 652790
5304001, 7, 632710
5529739, 7, 468120
5574841, 7, 566040
5593649, 7, 702580
5724007, 7, 742310
5803543, 7, 1043010
5904161, 7, 610690
6032833, 7, 616650
6076607, 7, 476940
6292813, 7, 496700
6324401, 7, 578290
6431323, 7, 507200
6538151, 7, 615690
6777103, 7, 591810
6792631, 7, 545330
6901429, 7, 678920
7096211, 7, 487510
7124993, 7, 407190
7278407, 7, 454130
7339847, 7, 647720
7389871, 7, 605940
7439231, 7, 716770
7515163, 7, 960880
7641437, 7, 740720
7691027, 7, 877530
7883587, 7, 703710
7909943, 7, 814020
8014001, 7, 764750
8030741, 7, 486380
8238563, 7, 480050
8263531, 7, 889280
8420483, 7, 1326870
8594713, 7, 1542730
8620631, 7, 1569760
8787799, 7, 848720
8837737, 7, 568370
8851877, 7, 493860
8985787, 7, 567320
9012187, 7, 828180
9120739, 7, 502220
9352393, 7, 513120
9354781, 7, 1012910
9403259, 7, 706410
9635881, 7, 535300
9713149, 7, 737990
9847213, 7, 578780
9849683, 7, 922570
9853313, 7, 688550
9962363, 7, 542220
10311527, 8, 839570
10435661, 8, 1021960
10904851, 8, 910590
13036663, 8, 663410
14773921, 8, 1020570
15148297, 8, 899150
15354971, 8, 849240
15499621, 8, 1096400
16717037, 8, 985700
21006593, 8, 1017160
23024191, 8, 1132940
24763799, 8, 1182590
24978139, 8, 1195690
25255469, 8, 1134090
25712783, 8, 1083400
25722269, 8, 1278320
26051257, 8, 1062310
27132461, 8, 1025750
27408523, 8, 1243820
27757897, 8, 1201390
28330979, 8, 1255290
29879887, 8, 1067510
29960633, 8, 1239700
30009373, 8, 1138490
31144759, 8, 937520
31344151, 8, 1216120
32076767, 8, 1269590
33362837, 8, 1202760
34461463, 8, 1093600
34781333, 8, 1516040
36929677, 8, 1331410
37997957, 8, 1816340
38266519, 8, 1838660
39812987, 8, 1492510
39943793, 8, 1586500
40665869, 8, 1670490
40834267, 8, 1402170
43104797, 8, 1261300
43183099, 8, 1380640
43307359, 8, 1571660
43624759, 8, 1442780
43857887, 8, 1132750
44262047, 8, 1476570
45391013, 8, 1327610
45754019, 8, 1582950
47156881, 8, 1344060
50334001, 8, 1537480
50742437, 8, 1852760
51018491, 8, 1548750
51084343, 8, 1741940
52811513, 8, 1224000
52964627, 8, 1338580
55122181, 8, 1856610
56039587, 8, 1862150
57620053, 8, 1855420
58129403, 8, 1398940
58168427, 8, 1680140
58625257, 8, 1647900
59992547, 8, 1629480
60242227, 8, 1486790
60910123, 8, 1853960
60998429, 8, 1670110
61256963, 8, 1810350
64251527, 8, 1783610
64786987, 8, 1737380
65016799, 8, 1936110
65611153, 8, 1451440
65617567, 8, 1849430
66490657, 8, 1465640
66769487, 8, 1967220
69029833, 8, 2037580
70241779, 8, 1758630
70524043, 8, 1900660
72443291, 8, 1560820
72687319, 8, 1750680
73275221, 8, 1895510
74420623, 8, 1816850
76743397, 8, 1603620
77133911, 8, 2209080
77139113, 8, 1911710
77171821, 8, 1782340
77339303, 8, 1685720
77954087, 8, 1695420
78552059, 8, 1590530
79502531, 8, 1884810
79852579, 8, 1688750
80301293, 8, 1621260
80975053, 8, 1804750
84760849, 8, 2449370
86036287, 8, 2130010
89945953, 8, 1917290
90209927, 8, 2123890
90939941, 8, 2073710
92840323, 8, 2158580
96195599, 8, 1813010
97890719, 8, 2275730
98674063, 8, 2233450
98809069, 8, 2314340
99283271, 8, 1920990
99401311, 8, 1850710
102139837, 9, 2664730
107663587, 9, 2556190
118344613, 9, 2663550
134467691, 9, 3217870
135277801, 9, 2473990
136353179, 9, 3090100
145318471, 9, 2902140
150561053, 9, 2934520
157114339, 9, 2690280
168473419, 9, 2395280
182407583, 9, 3749760
188764117, 9, 2464550
196472993, 9, 3116100
198187901, 9, 2791150
199760783, 9, 2770030
200104549, 9, 2968080
219094123, 9, 3051550
225465703, 9, 3340480
227966153, 9, 2849550
237230723, 9, 2992880
240312929, 9, 3483260
244485727, 9, 2939420
263236781, 9, 3156140
264827839, 9, 3464080
275652529, 9, 3856360
277213793, 9, 3572080
314814671, 9, 3686830
325345561, 9, 3881990
341948119, 9, 3784160
348119249, 9, 3747660
382535521, 9, 4174880
386954987, 9, 4195430
400505267, 9, 4614370
406771663, 9, 4451320
410940199, 9, 3920240
422065513, 9, 4158930
424273711, 9, 4045410
436804619, 9, 4596250
438211859, 9, 5688860
448270309, 9, 4450250
453175351, 9, 4071920
453815581, 9, 4678940
463764451, 9, 4180480
477870929, 9, 4636860
493964143, 9, 4544120
495976633, 9, 4561050
500035729, 9, 4231420
500117927, 9, 5469260
522498173, 9, 4453580
528306083, 9, 5669170
532721731, 9, 4776550
533560829, 9, 4948990
538790489, 9, 4968340
539168233, 9, 4828260
546792091, 9, 4415560
552308723, 9, 4874880
557463493, 9, 4813560
557717627, 9, 4696370
566149547, 9, 6051050
592507757, 9, 6039290
603181883, 9, 4817430
616765811, 9, 5691980
619483607, 9, 5943230
620385431, 9, 4984830
620512033, 9, 5314450
624914681, 9, 5165680
636409217, 9, 5111740
645934969, 9, 5269700
674784113, 9, 5818530
675070037, 9, 5109860
679570709, 9, 5370940
683253941, 9, 6155350
685911493, 9, 5678920
686911543, 9, 5693010
690061717, 9, 5579520
729467159, 9, 6036800
735392773, 9, 5993710
737408851, 9, 6814070
739719163, 9, 5871990
749172517, 9, 6330660
750613463, 9, 5158460
751089061, 9, 5697900
783288619, 9, 6137400
796981841, 9, 5637380
814440667, 9, 6073050
820592677, 9, 5825220
833503807, 9, 6736590
838288361, 9, 6306110
840639229, 9, 5589070
841507913, 9, 6172960
847920767, 9, 5922240
849050959, 9, 5806660
863237699, 9, 6031830
869044831, 9, 6494750
871328567, 9, 6518990
872454613, 9, 5650340
876824639, 9, 6023250
883780283, 9, 6984750
897527327, 9, 6218150
910106741, 9, 6305510
